##################################################
# Model Blast-Wave                          #
# - rapidity range         :        4 [units]    #
# - spatial rapidity range :        8 [units]    #
# - max cylinder size      :     8.21 [fm]       #
# - Blast-Wave time        :     8.17 [fm]       #
# - transverse velocity    :    0.341 [c]        #
# - freeze-out temperature :    165.6 [MeV]      #
# - chem. potential Mu_B   :     28.5 [MeV]      #
# - chem. potential Mu_I3  :     -0.9 [MeV]      #
# - chem. potential Mu_S   :      6.9 [MeV]      #
# - chem. potential Mu_C   :        0 [MeV]      #
# Parameters hash (CRC32)  : AAA1E9AE            #
# Integration samples      :  5000000            #
# Random seed              :      yes            #
# Generation date          : 2021-04-02 17:43:47 #
##################################################

# Particle name	Max integrand	Multiplicity
jp3096zer	5.63637e-06	0.000556451
Dc1800plu	0.000837939	0.15346
Dc1800min	0.000835137	0.152797
Dc1800zer	0.000847889	0.153236
Dc1800zrb	0.000817349	0.154039
Dc2010plu	0.000428286	0.072818
Dc2010min	0.000427253	0.0724578
Dc2010zer	0.000429309	0.071832
Dc2010zrb	0.000424936	0.072515
Ns2600plu	0.000334743	0.0414699
Ns2600zer	0.0003392	0.0418544
Ns2600plb	0.000239594	0.0296767
Ns2600zrb	0.000235085	0.0294172
Dl2420plp	0.000819369	0.111445
Dl2420plu	0.000824139	0.111562
Dl2420zer	0.000832072	0.112338
Dl2420min	0.000837141	0.112765
Dl2420ppb	0.000585083	0.0800283
Dl2420plb	0.000588511	0.079476
Dl2420zrb	0.000582622	0.0786315
Dl2420mnb	0.000578708	0.0788897
Lm2350zer	0.000375874	0.0524356
Lm2350zrb	0.000288981	0.0405762
f42340zer	0.000787617	0.110144
f22300zer	0.000525327	0.0763018
UM2250min	0.000556531	0.082313
UM2250mnb	0.000508211	0.0749927
Ns2250plu	0.00160932	0.234755
Ns2250zer	0.00158864	0.236673
Ns2250plb	0.00110487	0.16837
Ns2250zrb	0.00109884	0.166435
Sg2250plu	0.000602328	0.0903976
Sg2250min	0.000589788	0.0907108
Sg2250zer	0.000601519	0.0904196
Sg2250plb	0.000466121	0.0701566
Sg2250mnb	0.000460758	0.0697648
Sg2250zrb	0.000469068	0.0698965
Ns2220plu	0.00109125	0.167078
Ns2220zer	0.00110211	0.167717
Ns2220plb	0.000784164	0.118262
Ns2220zrb	0.000780004	0.117655
Ns2190plu	0.001728	0.260987
Ns2190zer	0.00168789	0.26292
Ns2190plb	0.00121913	0.18468
Ns2190zrb	0.0011957	0.185122
Lm2110zer	0.00121906	0.193301
Lm2110zrb	0.00093399	0.148529
Lm2100zer	0.00126469	0.203305
Lm2100zrb	0.000979433	0.157067
Ka2045plu	0.00188606	0.313114
Ka2045min	0.00172675	0.289233
Ka2045zer	0.00190393	0.313308
Ka2045zrb	0.00175714	0.286768
f42050zer	0.00338352	0.572831
Sg2030plu	0.00176185	0.29449
Sg2030min	0.0017875	0.298098
Sg2030zer	0.00180444	0.296349
Sg2030plb	0.00135399	0.230978
Sg2030mnb	0.0013641	0.227784
Sg2030zrb	0.00138539	0.229648
Xi2030min	0.00265367	0.440018
Xi2030mnb	0.00218693	0.368347
Xi2030zer	0.00258375	0.438202
Xi2030zrb	0.00217414	0.366902
a42040plu	0.00373395	0.634218
a42040min	0.00386051	0.643224
a42040zer	0.00379009	0.639582
f22010zer	0.00212245	0.361207
Dl1950plp	0.00541608	0.9423
Dl1950plu	0.00550323	0.943461
Dl1950zer	0.00550138	0.953899
Dl1950min	0.00550874	0.961394
Dl1950ppb	0.00390047	0.6788
Dl1950plb	0.00393198	0.671359
Dl1950zrb	0.00382528	0.672243
Dl1950mnb	0.00375927	0.668652
Xi1950min	0.00251681	0.43915
Xi1950mnb	0.00207278	0.36387
Xi1950zer	0.00252191	0.434575
Xi1950zrb	0.00207237	0.366893
Sg1940plu	0.00269442	0.477482
Sg1940min	0.00267193	0.482991
Sg1940zer	0.00274838	0.481422
Sg1940plb	0.00208889	0.373203
Sg1940mnb	0.00210469	0.369154
